costat,curcd,datafmt,indfmt,consol,tic,fyear,gvkey,conm,at,lt,ni,sale
A,USD,STD,INDL,C,AAPL,2013,001690,APPLE INC,207000.0000,83451.0000,37037.0000,170910.0000
A,USD,STD,INDL,C,AAPL,2000,001690,APPLE INC,6803.0000,2696.0000,786.0000,7983.0000
A,USD,STD,INDL,C,AAPL,2001,001690,APPLE INC,6021.0000,2101.0000,-25.0000,5363.0000
A,USD,STD,INDL,C,AAPL,2002,001690,APPLE INC,6298.0000,2203.0000,65.0000,5742.0000
A,USD,STD,INDL,C,AAPL,2003,001690,APPLE INC,6815.0000,2592.0000,69.0000,6207.0000
A,USD,STD,INDL,C,AAPL,2004,001690,APPLE INC,8050.0000,2974.0000,276.0000,8279.0000
A,USD,STD,INDL,C,AAPL,2005,001690,APPLE INC,11551.0000,4085.0000,1335.0000,13931.0000
A,USD,STD,INDL,C,AAPL,2006,001690,APPLE INC,17205.0000,7221.0000,1989.0000,19315.0000
A,USD,STD,INDL,C,AAPL,2007,001690,APPLE INC,25347.0000,10815.0000,3496.0000,24006.0000
A,USD,STD,INDL,C,AAPL,2008,001690,APPLE INC,39572.0000,18542.0000,4834.0000,32479.0000
A,USD,STD,INDL,C,AAPL,2009,001690,APPLE INC,47501.0000,15861.0000,8235.0000,42905.0000
A,USD,STD,INDL,C,AAPL,2010,001690,APPLE INC,75183.0000,27392.0000,14013.0000,65225.0000
A,USD,STD,INDL,C,AAPL,2011,001690,APPLE INC,116371.0000,39756.0000,25922.0000,108249.0000
A,USD,STD,INDL,C,AAPL,2012,001690,APPLE INC,176064.0000,57854.0000,41733.0000,156508.0000
A,USD,STD,INDL,C,AAPL,2014,001690,APPLE INC,231839.0000,120292.0000,39510.0000,182795.0000
A,USD,STD,INDL,C,AAPL,2015,001690,APPLE INC,290479.0000,171124.0000,53394.0000,233715.0000
A,USD,STD,INDL,C,AAPL,2016,001690,APPLE INC,321686.0000,193437.0000,45687.0000,215091.0000
A,USD,STD,INDL,C,AAPL,2017,001690,APPLE INC,375319.0000,241272.0000,48351.0000,229234.0000
A,USD,STD,INDL,C,AAPL,2018,001690,APPLE INC,365725.0000,258578.0000,59531.0000,265359.0000
A,USD,STD,INDL,C,AAPL,2019,001690,APPLE INC,338516.0000,248028.0000,55256.0000,260174.0000
A,USD,STD,INDL,C,AAPL,2020,001690,APPLE INC,323888.0000,258549.0000,57411.0000,274515.0000
A,USD,STD,INDL,C,AAPL,2021,001690,APPLE INC,351002.0000,287912.0000,94680.0000,365817.0000
A,USD,STD,INDL,C,AAPL,2022,001690,APPLE INC,352755.0000,302083.0000,99803.0000,394328.0000
A,USD,STD,INDL,C,AAPL,2023,001690,APPLE INC,352583.0000,290437.0000,96995.0000,383285.0000
A,USD,STD,INDL,C,AAPL,2024,001690,APPLE INC,364980.0000,308030.0000,93736.0000,391035.0000
A,USD,STD,INDL,C,AAPL,2025,001690,APPLE INC,359241.0000,285508.0000,112010.0000,416161.0000
